ime,datum 
Jan Gasienica Ciaptak,17.12.1922
Henri Oreiller,05.12.1925
Hedvig Wessel,25.08.1995
Frederick Tommy,24.09.1941
Marie Martinod,20.07.1984
Nina Ignatieva,09.05.1948
Sarah Podorieszach,05.06.1989
Sigurd Pettersen,28.02.1980
Gilles Roulin,14.05.1994
Robert Mosching,23.11.1954
Henry Glass,15.02.1953
Chloe Trespeuch,13.04.1994
Christof Innerhofer,17.12.1984
Igor Zhelezovsky,01.07.1963
Karl Wazulek,13.12.1914
Olli Hiidensalo,02.02.1991
Yves Blondeau,29.04.1951
Kun Pyo Hong,21.03.1965
Eugenio Mayer,29.12.1939
Arvids Lejnieks,30.11.1912
Liudmila Kalinchik,23.07.1982
Aaron Blunck,12.04.1996
Rhona Gillis,21.01.1922
Lukas Mathies,15.03.1991
Yevdokiya Mekshilo,23.03.1931
Laureen Jeffrey,23.06.1960
Timur Khamitgatin,27.04.1993
Silvia Rupil,15.05.1985
Martino Fill,05.03.1939
Patrick Ortlieb,20.05.1967
Volodymyr Boschuk,03.08.1982
Elene Gedevanishvili,07.01.1990
Georg Hackl,09.09.1966
Richard Price Cavanaugh,30.06.1948
Rudolf Riedl,07.06.1907
Menno Boelsma,08.01.1961
Rudolf Schmid,21.03.1951
Svein Erik Stiansen,06.05.1942
Ville Nousiainen,05.12.1983
Stine Brun Kjeldaas,23.04.1975
Miran Tepes,25.04.1961
Carle Brenneman,23.09.1989
Nicola Lavery,19.11.1960
Aki Tonoike,03.03.1979
Yep Kramer,15.11.1957
Cathy Priestner,27.05.1956
Bonny Warner,07.04.1962
David Lazzaroni,04.02.1985
Kevin Drury,20.07.1988
Aaron Muss,15.12.1994
Vladimir Lebedev,23.04.1984
Seamus O Connor,04.10.1997
Silvia Rincon,03.04.1971
Jana Nikolovska,12.09.1979
Heidi Widmer,28.02.1991
Marie Laure Brunet,20.11.1988
Guangbin Liu,03.11.1979
Max Stiepl,23.03.1914
Jarkko Kauppinen,06.04.1982
Charlene Von Saher,04.12.1974
Tone Djuricic,13.07.1961
Andrey Bakhvalov,13.04.1963
Fabio Guardigli,21.10.1968
Marco Zanon,06.05.1956
Taeyun Kim,28.09.1994
Angelina Golikova,17.09.1991
Jeremias Wigger,10.03.1965
Sorina Grigore,05.12.1973
Jeff Langdon,13.08.1975
Sotiros Axiotiades,
Simon Breitfuss Kammerlander,29.11.1992
Yuka Sato,14.02.1973
Leevi Mutru,16.05.1995
Moritz Thoenen,09.12.1996
Lloyd Langlois,11.11.1962
Eva Lindner,24.02.1926
Monika Stutzle,05.07.1953
Anita Moen,31.08.1967
Leos Skoda,01.05.1953
Florence Baverel,24.05.1974
Leo E Massa,15.10.1929
William Neale,09.03.1943
Chiara Simionato,04.07.1975
Chad Hedrick,17.04.1977
Tuomas Nieminen,16.09.1981
Bernard Vajdic,18.09.1980
Tasha Nelson,01.07.1974
Dagmar Lurz,18.01.1959
Tonya Harding,12.11.1970
Max Julen,15.03.1961
Andrej Segec,24.05.1994
Chun Gyong Han,28.03.1994
Hongwang Liu,13.02.1962
Diane Valkenburg,30.08.1984
Sophie Nogler,24.04.1924
Norman L Shutt,09.11.1929
Lucie Hrstkova,16.07.1981
Kathleen Monahan,09.11.1972
Paget Stewart,16.04.1963
Sarah Hecken,27.08.1993
Peter Michael,09.05.1989
Outi Kettunen,08.03.1978
Helmut Hagg,24.05.1932
David Hampton,16.12.1947
Macarena Simari Birkner,22.11.1984
Bernhard Perren,01.05.1928
Laurence Rochat,01.08.1979
Henrik Forsberg,16.02.1967
Lea Ann Parsley,12.06.1968
Aaron Tran,24.07.1996
Eirik Kvalfoss,25.12.1959
Kevin Scott,12.11.1969
Zofia Kielpinska,15.05.1960
Nicola Tumolero,24.09.1994
Miro Cosic,07.09.1983
Bob De Vries,16.12.1984
Herbert Steinbeisser,08.01.1938
Ville Raikkonen,14.02.1972
Helena Mikolajczyk,22.05.1968
Livio Stuffer,04.08.1935
Toimi Alatalo,04.04.1929
Sarah Thomasson,20.07.1925
Toni Livers,02.06.1983
Felix Elofsson,30.09.1995
Saburo Iwasaki,
Marko Stevovic,01.02.1996
Nadejda Talanova,17.04.1967
Bell Berghuis,13.04.1985
Devin Logan,17.02.1993
Leslie Thompson,09.09.1963
Bert Bullock,04.10.1955
Pi Hui Teng,13.06.1961
Hans Sahlin,08.05.1946
Hilary Lindh,10.05.1969
Silvia Marciandi,13.05.1963
Charles Tickner,13.11.1953
Richard Henry Durrance,23.10.1914
Bjorn Myrbakken,15.08.1972
Constantin Liviu Cepoi 1,25.04.1969
Gregor Staehli,28.02.1968
Pavel Riabinine,08.04.1971
Serguei Krianine,09.02.1971
Ho Jun Kim,01.05.1990
Laure Pequegnot,30.09.1975
Alain Calmat,31.08.1940
Gordon Morrison,15.05.1931
Jan Appleyard,10.10.1923
Margret Hafen,26.09.1946
Stanislaw Szczepaniak,17.08.1934
Lia Van Schie,08.07.1970
Iwao Ageishi,
Sonja Edstrom,18.11.1930
Patricia Durnin,04.08.1959
Jeanette Kessler,04.10.1908
Andreas Wellinger,28.08.1995
Alice Jones,16.05.1976
Sheena Mackintosh,10.01.1928
Olga Vassiljeva,28.10.1977
Andrew Freshwater,31.05.1973
Jan Kasielski,14.11.1954
Boris Stenin,17.01.1935
Roland Allard,04.06.1911
Sten Eriksson,19.01.1935
Katrin Mattscherodt,26.10.1981
Jana Kulhava,10.07.1964
Anneliese Schilhan,12.03.1936
Ole Ellefs Ter,15.02.1939
Marianne Timmer,03.10.1974
Johanne Dybwad,14.08.1920
Tessa Worley,04.10.1989
Akiko Aruga,31.10.1945
Andrine Flemmen,29.12.1974
Hyo Jung Kim,06.11.1988
Luc Colin,01.06.1935
Brady Leman,16.10.1986
Viktoria Lindpainter,13.02.1918
Michel Arpin,29.12.1935
Nikolay Gulyaev,01.01.1966
Thierry Gerbier,21.09.1965
Jaroslav Bogdalek,24.05.1929
Derek Parra,15.03.1970
Jeff Olson,16.01.1966
Reto Badrutt,10.07.1908
Jolanda Plank,14.06.1958
Sigisfredo Mair,10.08.1939
Olga Vediacheva,05.11.1970
Marjory Miller,16.10.1912
Jana Gantnerova,15.07.1989
Jason Sklenar,27.03.1970
Alfons Supersaxo,28.03.1926
Andreas Katz,08.01.1988
Yoon Mi Kim,01.12.1980
Julian Eberhard,09.11.1986
Darrell Donald Robison,30.08.1931
Jouko Salakka,10.08.1951
Rakai Tait,11.12.1998
Robert Zan,28.04.1967
Bruce Smith,18.09.1958
Elvedina Muzaferija,20.08.1999
Hwa Han Pil,21.01.1942
Regina Sackl,22.08.1959
Olav Okern,03.06.1911
Jeroen Straathof,18.11.1972
Peter Muller 1,06.10.1957
Jiri Raska,04.02.1941
Rolf Pettersen,07.01.1946
Peter Johansson,02.04.1967
Maria Tikhvinskaya,24.02.1970
Jorge Monjo Borget,21.02.1944
Radim Kolousek,09.12.1941
Lotfollah Kia Shemshakis,01.06.1938
Vladimir Gundartsev,13.12.1944
Anastasija Skulkina,11.08.1982
Katsuyuki Miyajima,27.12.1995
Zoltan Kelemen,31.07.1986
Aulis Sipponen,17.01.1929
Tess Arbez,01.12.1997
Ireen Wust,01.04.1986
Robert Blanchaer,22.09.1952
Ivan Borisov,04.03.1979
Hedy Schlunegger,10.03.1923
Andre Usborne,16.10.1952
Max Gassner,28.11.1926
Holmfrid Olsson,20.05.1943
Clara Angerer,04.02.1965
Sophie Fjellvang Soelling,25.04.1981
Paul Eckert,09.09.1990
Nicola Drocco,06.02.1979
Carola Anding,29.12.1960
Nadezhda Patrakeeva,03.01.1959
Yuri Ovchinnikov,03.06.1950
Miriam Gossner,21.06.1990
Terhi Markkanen,06.11.1973
Josef Schneider,26.12.1957
Ben Nanasca,29.12.1954
Liv Kjersti Eikeland,20.03.1979
Alain Penz,30.10.1947
Allan Potts,14.05.1904
Sacha Gros,27.11.1974
Markus Wuest,26.12.1971
Lubomir Toskov,17.12.1945
Dong Lin Jang,17.04.1968
Ron Steele,19.08.1953
Tibor Holeczy,23.09.1943
Wenqiang Geng,11.09.1995
Iryna Kryuko,30.07.1991
Martin Fourcade,14.09.1988
Andre Jungen,03.03.1968
Yevgeny Redkin,02.02.1970
Ursina Haller,29.12.1985
Reinhold Bachler,26.12.1944
Sofia Tikhonova,16.11.1998
Natalia Snytina,13.02.1971
Stefan Kristjansson,30.06.1924
Sung Yeol Jaegal,24.03.1970
Suzanne Otterson,26.03.1974
Hans Knauss,09.02.1971
Keishin Yoshida,12.01.1987
Hank Kashiwa,26.05.1949
Stefan Kuhn,01.10.1979
Anne Kylloenen,30.11.1987
John Werket,08.10.1924
Steffen Hoos,29.01.1968
Logan Hanneman,02.06.1993
Stig Strand,25.08.1956
Elena Yakovishina,17.09.1992
Fujiko Kato,03.03.1946
Carlos Antonio Perner,01.10.1947
Arthur L Gravel,
Zana Novakovic,24.06.1985
Fabio Pasini,23.08.1980
Maria Giro,12.05.1971
Danielle Wotherspoon,13.04.1980
Marko Rudic,17.01.1990
Jure Velepec,10.06.1965
Britt Lafforgue,05.11.1948
Regina Hausl 1,17.12.1973
Dorota Kwasny,11.09.1972
Alin Florin Cioanca,01.04.1995
Yira Seo,31.10.1992
Greta Sebald,18.11.1965
Katia Mosconi,28.04.1973
Ion Bucsa,28.02.1968
Stine Lise Hattestad,30.04.1966
Mark Greenwald,01.12.1968
Cornelia Harrington,07.06.1943
Katerina Balkaba,11.06.1982
Genevieve Burdel,29.11.1946
Kazuoki Kodama,08.06.1965
Francisc Forika,16.06.1954
Walter Ten Eyck Weed,15.04.1949
Franz Gattermann,25.05.1955
Asle Strand,29.09.1953
Jorinde Mueller,02.10.1993
Philippe Marquis,09.05.1989
Claudiu Grozea,14.10.1982
Muzaffer Demirhan,17.07.1932
Arne Rustadstuen,14.12.1905
Brendan Green,04.11.1986
Oskars Muiznieks,09.12.1989
Zdenek Mezl,13.07.1948
Pavel Karelin,27.04.1990
Aelin Peterson,07.06.1974
Krista Lahteenmaki,12.12.1990
Qingbo Feng,12.12.1974
Marie Eve Drolet,03.02.1982
Natalia Kurova,22.04.1962
Roland Jeannerod,21.11.1945
Diana Rasimoviciute,25.02.1984
Emi Kawabata,13.02.1970
Sue Gibson,21.06.1955
Albina Akhatova,13.11.1976
Manabu Horii,19.02.1972
Vibeke Skofterud,20.04.1980
Martin Hersman,26.02.1974
Veronika Mayerhofer,10.07.1992
Ioannis Triadafilidis,07.09.1965
Young Seo Kang,19.07.1997
Manuel Osborne Paradis,08.02.1984
Esko Saira,14.06.1938
Guilan Liu,12.02.1971
Katrin Neuenschwander,29.06.1971
Marco Ladner,22.04.1998
Kevin Brochman,06.07.1959
Thibaut Fauconnet,23.04.1985
Helmuth Schmalzl,08.10.1948
Astra Ribena,21.06.1959
Lubomir Mick,17.05.1978
Andrzej Nedza Kubiniec,19.06.1991
Il Chol Pak,26.03.1996
Gorel Partapuoli,25.02.1954
Ashley Wagner,16.05.1991
Jessica Smith,14.10.1983
Adriano Guarnieri,18.11.1914
Ronald Mulder,27.02.1986
Svend Carlsen,28.04.1938
Dabin Choi,19.01.2000
Tatyana Averina,25.06.1950
Polina Edmunds,18.05.1998
In Bok Lee,30.03.1984
Oskar Kwiatkowski,25.04.1996
Christo Madjarov,28.03.1943
Carlo Calza,07.06.1931
Sven Leonhardt,18.04.1968
Mojca Suhadolc,07.01.1975
Sergei Nikiforov,15.05.1966
Mitsuhiro Murata,26.01.1970
Katerina Smutna,13.06.1983
Michael Allan Goode,03.01.1953
Sabahattin Oglago,25.06.1984
Marika Labancz,23.07.1978
Raman Yaliotnau,10.05.1993
Taku Takeuchi,20.05.1987
Yumie Kobayashi,14.08.1977
Christoph Gruber,25.03.1976
Anna Margaret Asheshov,08.07.1941
Jan Holmlund,29.03.1957
Marie Pierre Lamarche,20.10.1968
Eva Maria Brem,13.09.1988
Zongyang Jia,01.03.1991
Teruko Yamada,06.06.1956
Mieko Ogawa,13.12.1949
Rowena Bright,07.05.1980
Qinghai Sun,18.01.1988
Mika Marila,09.02.1973
Kaylin Irvine,03.09.1990
Roger Staub,01.07.1936
Jerome Gay,09.02.1975
Kathe Grasegger,19.06.1917
Rosana Kiroska,22.01.1991
Michael Woods,15.05.1952
Konstantin Kalinovsky,03.09.1975
Gjermund Braaten,23.10.1990
Veronika Halder,14.10.1980
Antonio Ristevski,19.05.1989
Scott Kneller,19.05.1989
Leslie Gagne,
Marvin Alton Melville,15.02.1935
Camillia Berra,02.12.1994
Antti Kuisma,23.02.1978
Arnold V Stone,
Jian Qiang Chen,01.06.1957
Zsuzsa Almassy,08.10.1947
Michiko Kashiwabara,14.03.1991
Anthony Benna,25.09.1987
Anthony Liu,04.07.1974
Urska Poje,10.05.1997
Sung Ae Lee,02.12.1962
Kristinn Benediktsson,05.05.1939
Camille Dias,28.08.1996
James Southam,05.06.1978
Giacomo Scalet,27.12.1909
Jaroslav Slavik,28.01.1976
Ryan Cochran Siegle,27.03.1992
Jeroen Van Den Bogaert,16.03.1979
Myriam Bedard,22.12.1969
Reina Umehara,01.08.1983
Edmee Abetel,26.11.1922
Fei Wang 1,20.02.1982
Jonathon Brauer,26.09.1981
Eva Skalnikova,15.01.1985
James Coates,13.05.1894
Isabel Duval De Navarre,25.06.1956
Akiko Suzuki,28.03.1985
Alessandro Del Torso,
Mathias Behounek,25.06.1975
Yoshihiro Kitazawa,04.08.1962
Gracie Gold,17.08.1995
Sergei Zacharenko,19.09.1974
Timo Juhani Gronlund,03.07.1987
Anthony Evans,27.05.1969
Otto Jung,12.07.1930
Irene Viaene,07.12.1949
Marcel Sulliger,17.07.1967
Spas Zlatev,14.05.1964
Richard Cobbing,15.10.1967
Rosalind Groenewoud,10.12.1989
Marcus Nikkanen,26.01.1904
Jan Hamrik,03.12.1940
Mark Mitchell,06.04.1961
Ralph Miller,23.09.1933
Emily Bamford,11.03.1992
Mario Dolder,22.06.1990
Misha Ge,17.05.1991
Susanne Moll,27.07.1987
Eberhard Riedel,14.02.1938
Seiji Aochi,21.06.1942
Yi Fang Lee,10.09.1976
Malgorzata Tlalka,27.04.1963
Egon Schopf,16.10.1925
Rafal Lepel,13.02.1990
Hilde Gerg,19.10.1975
Anja Erzen,26.10.1992
Hilde G Pedersen,08.11.1964
Stefan Groothuis,23.11.1981
Shane O Connor,15.11.1973
Jadwiga Damse,05.09.1947
Raluca Stramaturaru,22.11.1985
Peter Frei,06.08.1946
Charles De Ligne,12.09.1895
Kyung Nam Lee,22.11.1980
Felix Neureuther,26.03.1984
Christian Bollini,15.08.1962
Svetlana Shishkina,27.03.1977
Achbadrakh Batmunkh,21.12.1994
Georg Fischer,10.11.1960
Holger Lundgren,31.03.1912
Hong Zhang 1,12.04.1988
Nina Kemppel,14.10.1970
Svetlana Trunova,07.06.1983
Andreas Kunz,24.07.1946
Barbara Ertl,27.01.1982
Olavi Koppa,16.05.1951
Linus Strasser,06.11.1992
Richard Aylmer,11.01.1932
Hans Erik Larsson,20.04.1947
Yuka Fujimori,11.06.1986
Anna Lena Fritzon,07.03.1965
Yulia Siparenko,22.04.1980
Borislav Dimitratchkov,01.06.1968
Natalia Voronina,21.10.1994
Elin Kristiansen,09.07.1968
Jung Hee Choi,02.12.1951
Hermann Schulz,14.12.1961
Mark Gee,21.02.1972
Konstantin Kostin,04.09.1973
Kari Ristanen,27.07.1958
Erich Schonbachler,06.09.1935
Justin Freeman,30.11.1976
Shawn Sawyer,14.01.1985
Simon Stickl,18.10.1987
Bronislaw Czech,16.08.1908
Josef Biebl,30.12.1936
Walter Feichter,01.04.1974
Neil Townshend,29.05.1955
Jeff Bean,11.01.1977
Vitaly Novichenko,16.04.1975
Anna Krzeptowska,26.07.1938
Hiroshi Kudo,03.01.1974
Martin Korner,30.12.1935
Nils Petter Skarseth,01.04.1945
Doreen Ryan,27.09.1931
John Aalberg,14.10.1960
Anna Lebedeva,26.12.1981
Hubert Hilti,05.12.1963
Martina Zellner,26.02.1974
Calle Halfvarsson,17.03.1989
Giacomo Aimoni,23.12.1939
Jordi Torres,19.07.1964
Kirstin Holum,29.06.1980
Stanislav Bukowski,03.01.1923
Maria Manolova,06.09.1963
Ewald Eberle,16.04.1933
Sebastian Kislinger,01.08.1988
Ziwei Ren,03.06.1997
Hiroyuki Noake,24.08.1974
Nadia Styger,11.12.1978
Yann Fricheteau,14.06.1979
Sandro Stielicke,30.11.1986
Samuel Edney,29.06.1984
Toni Salame,11.07.1963
Konrad Hallenbarter,01.12.1953
Janez Krsinar,07.04.1962
Franz Josef Rehrl,15.03.1993
Mariarosa Quario,24.05.1961
Isabelle Charest,03.01.1971
Michael W Elliott,03.04.1942
Benedikt Obermuller,11.04.1930
Stefan Shalamanov,27.01.1970
Jarryd Hughes,21.05.1995
Jerzy Schindler,05.02.1913
Bridget Duke,
Taihei Kato,30.07.1984
Sergey Mikayelyan,27.04.1992
Giorgio Rocca,06.08.1975
Li Chien Shen,12.01.1952
Karin Svingstedt,13.11.1964
Roberts Raimo,10.04.1968
Petra Zakourilova,05.09.1978
Bertil Alf Persson,30.04.1914
Shozo Sasaki,25.01.1944
Svetlana Paramygina,05.04.1965
Gabriele Hess,01.04.1971
Ryoji Fujiki,06.04.1951
In Sook Tak,25.04.1949
Vanessa Vidal,21.12.1974
Sarka Pancochova,01.11.1990
Kjell Aasvestad,04.01.1950
Matus Uzak,13.04.1981
Maria Prusakova,25.12.1989
Cynthia Nelson,19.08.1955
Tor Hakon Holte,01.08.1958
Eskil Ervik,11.01.1975
Pekka Koskela,29.11.1982
Gary Athans,12.06.1961
Ruben Verges,11.03.1987
Andrus Paul,21.04.1975
Aleksandr Mozin,09.06.1961
Tina Maze,02.05.1983
Jon Kristjansson,17.05.1920
Sonja Balun,12.12.1955
Benjamin Weger,05.10.1989
Tomaz Knafelj,11.04.1972
Andrei Bobrov,13.07.1964
Junichi Kogawa,12.02.1972
Julia Soldatova,17.05.1981
Larry Dolan,08.07.1975
Anouk Leblanc Boucher,21.10.1984
Ekaterina Efremenkova,31.12.1997
Gunnar Strom,07.10.1930
Kurt Hinze,13.10.1934
Anthony Charles Palmer Tomkinson,04.01.1940
Frantisek Balvin,07.11.1915
Gregor Urbas,20.11.1982
Jill Linzee,17.07.1929
Roberto Ado Alvarez Hojel,15.01.1960
Igor Zakurdaev,08.01.1987
Raul Muniz,02.08.1956
Toyoki Takeda,09.01.1974
Ivan Hudac,10.08.1971
Kazuhiro Koshi,23.12.1964
Andrei Belokrynkine,26.11.1946
Klemen Kosi,19.06.1991
Patrick Mc Millan,06.11.1991
Patrick Hasler,26.10.1947
Andreas Wenzel,18.03.1958
Veronika Zuzulova,15.07.1984
Atle Skaardal,17.02.1966
Tatsuo Miyao,22.02.1928
Florian Koch,05.05.1945
Olegs Andrejevs,12.09.1980
Venzislav Stoyanov,18.02.1946
William Lanigan,06.08.1947
Kyoko Shimazaki,07.01.1972
Tatiana Rachkova,14.01.1973
Erwin Josi,01.03.1955
Pentti Johannes Pelkonen,20.03.1930
Stephanie Magiros,05.05.1991
Kyle Connelly,22.04.1980
Jiri Magal,11.04.1977
Danil Steptsenko,13.08.1986
Otto Linher,15.12.1922
Olavi Sihvonen,24.09.1918
Suzanne Schulting,25.09.1997
Ulf Ekstam,30.04.1941
Sigurd Vestad,31.07.1908
Sara Kjellin,16.12.1977
Michael Layer,23.10.1978
Fyodor Terentyev,04.10.1925
Lemoine Batson,
Othmar Schneider,27.08.1928
Viktoria Taranina,18.04.1969
Agnes Aanonsen,19.11.1966
Triin Tobi,03.06.1995
Gordon Audley,20.04.1928
Rune Hammarstrom,16.11.1920
Helena Jonsson,06.09.1984
Tadeusz Kwapien,25.02.1923
Jae Won Jeon,21.11.1973
Sachi Ozawa,23.12.1976
Serhiy Semenov,28.07.1988
Sophie Lefranc Duvillard,05.02.1971
Andreja Grasic,02.09.1971
Niilo Nikunen,14.06.1913
Haerim Jeong,16.12.1995
Mikhail Essine,25.01.1968
Bjorn Arentz,02.12.1928
Franz Offenberger,27.11.1931
Aurore Cuinet,25.06.1985
Alena Sannikova,12.06.1980
Radik Bikchantayev,02.08.1972
Martin Mesik,17.10.1979
Anton Lindfors,22.04.1991
Igor Ostashov,03.05.1937
Tim Tscharnke,13.12.1989
Paolo Longo,03.11.1977
Irina Kusakina,05.06.1965
Lenka Kulovana,25.10.1974
Margit Albrechtsson,02.02.1918
Sergey Shiriaev,08.02.1983
Adam Edelman,14.03.1991
Oleksandr Zarovnyy,20.02.1975
Dany Abounaoum,23.10.1969
Rene Farwig Guillen,30.09.1935
Guntis Rekis,03.11.1974
Ewa Wasilewska,07.01.1967
Giuseppe Michielli,23.05.1985
Arthur Holt,14.12.1919
Olivia Nobs,18.11.1982
Archibald Marshall,23.10.1952
Xue Qin Li,01.03.1975
Franz Keller,19.01.1945
Gordon Wren,05.01.1919
Arminio Sertorelli,24.12.1911
Max Bolkart,29.07.1932
Ilie Bria,23.03.1989
Sarah Ainsworth,06.07.1985
Ana Drev,06.08.1985
Casey Andringa,06.10.1995
Helene Olafsen,21.02.1990
Keith Anthony Oliver,27.10.1947
Christopher Hoerl,30.08.1989
Thomas Vonn,03.12.1975
Pal Tyldum,28.03.1942
Cerstin Schmidt,05.03.1963
Christian Gow,28.03.1993
Andrey Malikov,07.05.1954
Alessandro De Taddei,25.10.1971
Alex Ferlazzo,03.04.1995
Neal Marshall,13.06.1969
Anna Janouskova,12.07.1965
Hans Sigfrid Oberer,12.12.1933
Igor Cigolla,17.08.1963
Tobias Schneider,23.07.1981
David Poisson,31.03.1982
Alfred Runggaldier,03.01.1962
Aldo Pedrana,11.04.1934
Douglas Hansen,03.10.1948
Christo Barzanov,19.08.1956
Nathalie Krieg,21.10.1977
Jean Marc Gaillard,07.10.1980
Jan Nilsson,26.02.1947
Sofia Domeij,22.10.1976
Peter Dokl,11.01.1985
Aileen Shaw,21.05.1945
Rasit Tolun,29.02.1920
Herve Balland,07.01.1964
Didier Plaschy,02.05.1973
Jelena Vsivtseva,13.12.1972
Malgorzata Ruchala,21.01.1961
Franz Donth,
Johan Rasmussen,18.07.1970
Nicolas Fontaine,05.10.1970
Frida Clara,06.01.1909
Aleksandr Gubin,24.08.1935
Fumie Suguri,31.12.1980
Marysette Agnel,28.08.1926
Manuel Pfister,04.12.1988
Greg Jones,03.12.1953
Ulla Maaskola,
Dorjgotov Purevloov,12.10.1944
Elena Koenz,12.09.1987
Sarah Felder,20.03.1956
Kalevi Hakkinen,12.03.1928
Magdalena Pajala,11.03.1988
Gweneth Molony,17.06.1931
Jaromir Simunek,02.02.1955
Marc Oliveras,20.12.1991
Elena Tagliabue,12.12.1977
Yulia Krygina,10.02.1978
Nicolas Huet,22.07.1976
Ulrich Ohlbock,10.07.1948
Floriano Martello,01.02.1952
Sonja Morgenstern,22.11.1955
Hans Christer Holund,25.02.1989
Francois Bourque,18.11.1984
Rosey Fletcher,30.11.1975
Shozo Ishihara,10.08.1910
Joerg Dallmann,10.08.1979
Masahiko Harada,09.05.1968
Fredrik Lindstroem,24.07.1989
Emily Dreissigacker,29.11.1988
Max Krockel,30.11.1899
Munehisa Kuroiwa,19.04.1966
Roman Koudelka,09.07.1989
Peter Buttner,26.07.1936
Devereaux Jennings,28.06.1924
Katarzyna Bachleda Curus,01.01.1980
Michal Novotny,01.07.1981
Konstantin Schad,25.07.1987
Kc Boutiette,11.04.1970
Carien Kleibeuker,12.03.1978
Jean Vuarnet,18.01.1938
Fredrik Van Der Horst,02.12.1989
Dumeng Giovanoli,23.01.1941
Kaname Ide,04.07.1947
Markus Penz,06.06.1975
Leon Quaglia,30.11.1895
Jeff Christie,02.02.1983
Anna Hellman,29.11.1978
Dow Travers,08.07.1987
Anastasia Gimazetdinova,19.05.1980
Stephanie St Pierre,02.08.1985
Takashi Matsuhashi,26.10.1932
Jordi Ribo,05.05.1967
Sandra Robatscher,13.12.1995
Birnie Duthie,11.06.1905
Andrei Erdelyi,02.06.1955
Cristina Paluselli,23.10.1973
Silvan Zurbriggen,15.08.1981
Tatsuki Machida,09.03.1990
Christine Witty,23.06.1975
Erjon Tola,15.12.1986
Beorn Nijenhuis,02.04.1984
Jens Salumae,15.03.1981
Vladimir Barnashov,26.02.1951
Rune Lindstrom,26.05.1944
Marek Sasiadek,02.11.1978
Aleksander Mitt,08.02.1903
Conradign Netzer,02.08.1980
Pavel Vavilov,20.08.1972
Kyung Soon Yim,30.11.1929
Valery Kolegov,29.11.1995
Yuanyuan Liu,17.03.1982
Arne Barhaugen,11.01.1931
Henry Hermansen,13.04.1921
Lasma Kauniste,19.04.1942
Kai Feng,29.08.1978
Kiyomi Ito,30.10.1949
Rene Berthod,07.02.1948
Niklaus Stump,23.12.1920
Eriko Ishino,01.12.1985
Andriy Mandziy,19.02.1988
Eva Lauermanova,14.03.1931
Berit Kvello,09.06.1956
Ludmila Milanova,22.03.1967
Stefan Read,07.05.1987
Bogun Choi,28.08.1991
Enrico Nizzi,01.08.1990
Didrik Bastian Juell,22.02.1990
Emma Lunder,02.09.1991
Simon Payne,27.08.1964
Michael Veith,20.01.1957
Gabriele Kohlisch,07.12.1963
Alexei Gorlatschev,06.05.1981
Fredrik Kuoppa,16.08.1971
Cveto Pavcic,15.04.1933
Gayle Gordon,27.08.1955
Ai Xia Dou,10.08.1961
Hilkka Kuntola,24.12.1952
Megan Mcjames,24.09.1987
Christine Margaret Grant,20.10.1962
Jeffrey Buttle,01.09.1982
Krystyna Palka,16.08.1983
Olena Stetskiv,15.06.1994
Ryan Semple,21.10.1982
Brett Camerota,09.01.1985
Mladen Grujic,21.03.1969
Antony Mcleod,29.04.1959
Masahiro Akimoto,03.09.1956
Peter Durr,10.02.1960
Roland Braun,01.01.1970
Xavier Bertoni,04.05.1988
Robin Partch,24.12.1944
Gabriela Zingre,05.08.1970
Bill Hudson,27.06.1966
Ian Piccard,11.03.1968
Alena Zavarzina,27.05.1989
Erica Prugger,22.06.1945
Ann Johnston,08.04.1936
Saori Suzuki,09.01.1990
Eddy Verheijen,21.03.1946
Victoria Padial Hernandez,10.08.1988
Yvonne De Ligne,19.09.1907
Sandra Ringwald,27.09.1990
Kati Sundqvist,15.02.1975
Wilhelmina Burgmeyer,23.04.1947
Svetlana Kamotskaya,09.01.1964
Geoffrey Stockdale,21.03.1944
Thomas Muller,05.03.1961
Siegfried Weiss,18.12.1933
Nicola Ercolani,10.11.1969
Javier Fernandez,15.04.1991
Tokiko Ozeki,15.12.1950
Blanka Paulu,31.03.1954
David Belam,07.01.1968
Eveli Saue,13.02.1984
Valeri Tarakanov,02.08.1941
Qiaobo Ye,03.08.1964
Erik Mobaerg,22.06.1997
Janne Ahonen,11.05.1977
Giustina Demetz,27.04.1941
Maciej Ustynowicz,23.02.1983
Gian Simmen,19.02.1977
Franca Bianconi,03.03.1962
Alexander Majorov,19.07.1991
Kenza Tazi,06.02.1996
Irene Schouten,21.06.1992
Pavel Morschinin,30.11.1933
Miro Oman,11.01.1936
Ingrid Jacquemod,23.09.1978
Elisabeth Mikula,05.03.1951
Zhongsheng Mu,26.07.1991
Christiano Rodighiero,22.04.1915
Annmari Viljanmaa,10.07.1973
Kesato Miyazaki,04.04.1981
Cornel Puchianu,27.10.1989
Jenny Karin Olsson,14.07.1979
Bjoern Einar Romoeren,01.04.1981
Klebert Balmat,22.06.1896
Nathalie Lambert,01.12.1963
Kevin Bickner,23.09.1996
Katjusa Pusnik,31.01.1969
Cevdet Can,01.07.1969
Idly Walpoth,24.11.1920
Kristin Krone,17.06.1968
Daniel Franck,09.12.1974
Iveta Voralova,07.08.1970
Veronika Stallmaier,30.07.1966
Nancy Swider Peltz Jr,10.01.1987
Josette Baisse,11.11.1924
Jonas Baumann,27.03.1990
Shaoang Liu,13.03.1998
